3.180490 0.000000 0.000000
-1.590245 2.754385 0.000000
0.000000 0.000000 3.545480
2.000000 1.000000 1.000000
2.000000 -1.000000 -1.000000
3.000000 3.000000 -2.000000
5.000001 2.000000 -2.000000 Ta
5.000001 3.000000 -2.000000 Ta
6.000001 3.000000 -2.000000 Ta
3.000001 1.000000 -1.000000 Zr
4.000001 1.000000 -1.000000 Ta
3.000001 2.000000 -1.000000 Zr
4.000001 2.000000 -1.000000 Ta
5.000001 2.000000 -1.000000 Zr
4.000001 3.000000 -1.000000 Ta
5.000001 3.000000 -1.000000 Ta
4.000001 2.000000 -2.000000 Zr
7.000001 3.000000 -2.000000 Ta
4.000001 3.000000 -2.000000 Ta
3.000001 -0.000000 -1.000000 Ta
2.000001 1.000000 0.000000 Ta
3.000001 1.000000 0.000000 Ta
2.000001 -0.000000 -1.000000 Ta
3.000001 2.000000 0.000000 Ta
2.000001 1.000000 -1.000000 Ta
4.000001 1.000000 -2.000000 Ta
4.666667 1.333333 -1.500000 B
4.666667 2.333333 -1.500000 B
5.666667 2.333333 -1.500000 B
2.666667 0.333333 -0.500000 B
3.666667 0.333333 -0.500000 B
2.666667 1.333333 -0.500000 B
3.666667 1.333333 -0.500000 B
2.666667 0.333333 -1.500000 B
3.666667 2.333333 -0.500000 B
2.666667 1.333333 -1.500000 B
3.666667 1.333333 -1.500000 B
2.666667 2.333333 -1.500000 B
3.666667 2.333333 -1.500000 B
5.666667 2.333333 -2.500000 B
4.666667 3.333333 -1.500000 B
5.666667 3.333333 -1.500000 B
4.666667 2.333333 -2.500000 B
2.666667 1.333333 0.500000 B
1.666667 0.333333 -0.500000 B
1.666667 1.333333 -0.500000 B
4.333333 1.666667 -1.500000 B
4.333333 2.666667 -1.500000 B
5.333333 2.666667 -1.500000 B
2.333333 0.666667 -0.500000 B
3.333333 0.666667 -0.500000 B
2.333333 1.666667 -0.500000 B
3.333333 1.666667 -0.500000 B
4.333333 1.666667 -0.500000 B
5.333333 1.666667 -1.500000 B
4.333333 2.666667 -0.500000 B
3.333333 1.666667 -1.500000 B
4.333333 1.666667 -2.500000 B
3.333333 2.666667 -1.500000 B
2.333333 -0.333333 -0.500000 B
1.333333 0.666667 0.500000 B
2.333333 0.666667 0.500000 B
1.333333 -0.333333 -0.500000 B
4.333333 0.666667 -0.500000 B
1.333333 0.666667 -0.500000 B
3.333333 0.666667 -1.500000 B
